Name,Price,Ram,System,SSD,Processor,Display
Neopticon BrowseBook Intel Celeron Dual Core N4020 - (8 GB/256 GB SSD/Windows 11 Home) BBN40825615 Lap...,"₹25,990",8 GB LPDDR4 RAM,64 bit Windows 11 Home Operating System,256 GB SSD,Intel Celeron Dual Core Processor,39.62 cm (15.6 Inch) Display
Lenovo 100e Chromebook Gen 4 MediaTek MediaTek Kompanio 528 - (4 GB/64 GB EMMC Storage/Chrome OS) 100e...,"₹37,690",4 GB LPDDR4X RAM,Chrome Operating System,,MediaTek MediaTek Kompanio 528 Processor,29.46 cm (11.6 Inch) Display
HP Victus Intel Core i7 13th Gen 13650 HX - (24 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,"₹1,19,990",24 GB DDR5 RAM,Windows 11 Home Operating System,512 GB SSD,Intel Core i7 Processor (13th Gen),39.62 cm (15.6 inch) Display
DELL PRO 15 (2026) DDR5 5600Mhz (i3 14th Gen) Intel Core 3 14th Gen 100U - (8 GB/512 GB SSD/Windows 11...,"₹46,499",8 GB DDR5 RAM,64 bit Windows 11 Operating System,512 GB SSD,Intel Core 3 Processor (14th Gen),39.62 cm (15.6 inch) Display
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 - (8 GB/64 GB EMMC Storage/Chrome OS) 100e Chromebo...,"₹22,490",8 GB LPDDR4X RAM,Chrome Operating System,,MediaTek Kompanio 520 Processor,29.46 cm (11.6 Inch) Display
Lenovo Ultra 5 225U Intel Core Ultra 5 225U - (16 GB/1 TB SSD/Windows 11 Home) 21SKA0FTIG Laptop,"₹94,786",16 GB DDR5 RAM,Windows 11 Operating System,1 TB SSD,Intel Core Ultra 5 Processor,40.64 cm (16 inch) Display
Acer Aspire 3 Backlit AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) Aspire AS15 - 4...,"₹55,990",16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,AMD Ryzen 7 Octa Core Processor,39.62 cm (15.6 Inch) Display
HP Omnibook 3 with Backlit Keyboard AMD Ryzen AI 5 Quad Core - (24 GB/1 TB SSD/Windows 11 Home) 15-fn0...,"₹68,150",24 GB DDR5 RAM,Windows 11 Operating System,1 TB SSD,AMD Ryzen AI 5 Quad Core Processor,39.62 cm (15.6 inch) Display
HP 15 with MSO'2024 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0025AU | 15-f...,"₹43,990",8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,AMD Ryzen 3 Quad Core Processor,39.62 cm (15.6 Inch) Display
Infinix Intel Core i7 10th Gen 1065G7 - (8 GB/512 GB SSD/Windows 11 Home/128 MB Graphics) XL21 Thin an...,"₹36,990",8 GB LPDDR4X RAM,Windows 11 Operating System,512 GB SSD,Intel Core i7 Processor (10th Gen),35.56 cm (14 Inch) Display
MSI Modern 14 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C13M-116IN T...,"₹45,990",16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,Intel Core i5 Processor (13th Gen),35.56 cm (14 Inch) Display
Samsung Galaxy Book4 Metal Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-...,"₹71,990",16 GB LPDDR4X RAM,Windows 11 Operating System,512 GB SSD,Intel Core i7 Processor (13th Gen),39.62 cm (15.6 Inch) Display
ASUS Expertbook P1 with 1 Yr ADP Intel Core 3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) P1503...,"₹45,990",8 GB DDR5 RAM,Windows 11 Home Operating System,512 GB SSD,Intel Core 3 Processor (13th Gen),39.62 cm (15.6 Inch) Display
